"tag","month","first_dose","second_dose","third_dose"
"baseline_m60","2020-12",74000,0,0
"baseline_m60","2021-01",814000,948,0
"baseline_m60","2021-02",236800,41934,0
"baseline_m60","2021-03",144783,334738,0
"baseline_m60","2021-04",28678,513845,0
"baseline_m60","2021-05",3209,273577,0
"baseline_m60","2021-06",14137,97948,0
"baseline_m60","2021-07",21687,26295,0
"baseline_m60","2021-08",21345,10156,0
"baseline_m60","2021-09",8880,17760,350138
"baseline_m60","2021-10",7400,13320,398248
"baseline_m60","2021-11",8880,11840,167363
"baseline_m60","2021-12",11840,11840,199800
"baseline_m60","2022-01",14800,7400,42920
"baseline_m60","2022-02",1480,4440,11840
"baseline_m60","2022-03",4440,10360,17760
"baseline_m60","2022-04",0,1480,5920
"baseline_m60","2022-05",0,1480,5920
"baseline_m60","2022-06",0,0,1480
"baseline_m60","2022-07",0,0,2960
"baseline_m60","2022-08",0,0,0
"m45","2020-12",74000,0,0
"m45","2021-01",814000,5403,0
"m45","2021-02",236800,132310,0
"m45","2021-03",144783,499875,0
"m45","2021-04",28678,413555,0
"m45","2021-05",3209,168949,0
"m45","2021-06",14137,53788,0
"m45","2021-07",21687,13154,0
"m45","2021-08",21345,12405,0
"m45","2021-09",8880,17760,423792
"m45","2021-10",7400,13320,366958
"m45","2021-11",8880,11840,119905
"m45","2021-12",11840,11840,199800
"m45","2022-01",14800,7400,42920
"m45","2022-02",1480,4440,11840
"m45","2022-03",4440,10360,17760
"m45","2022-04",0,1480,5920
"m45","2022-05",0,1480,5920
"m45","2022-06",0,0,1480
"m45","2022-07",0,0,2960
"m45","2022-08",0,0,0
"m75","2020-12",74000,0,0
"m75","2021-01",814000,98,0
"m75","2021-02",236800,8646,0
"m75","2021-03",144783,157495,0
"m75","2021-04",28678,487698,0
"m75","2021-05",3209,412981,0
"m75","2021-06",14137,166250,0
"m75","2021-07",21687,53308,0
"m75","2021-08",21345,12964,0
"m75","2021-09",8880,17760,222310
"m75","2021-10",7400,13320,417001
"m75","2021-11",8880,11840,272793
"m75","2021-12",11840,11840,199800
"m75","2022-01",14800,7400,42920
"m75","2022-02",1480,4440,11840
"m75","2022-03",4440,10360,17760
"m75","2022-04",0,1480,5920
"m75","2022-05",0,1480,5920
"m75","2022-06",0,0,1480
"m75","2022-07",0,0,2960
"m75","2022-08",0,0,0
