"scenario","n","rmse","mae","bias","corr"
"attenuating_VE0",82,824,655.2,-616.6,0.44
"attenuating_VE30",82,825.7,655.5,-628.3,0.474
"attenuating_VE60",82,827.2,656.7,-633,0.484
"attenuating_VE95",82,827.5,656.7,-634.3,0.487
"static_VE30",82,1010.3,469,87.7,0.365
"static_VE60",82,1046.2,529,-204.4,0.262
"static_VE0",82,1103.5,615.8,413.8,0.449
"static_VE95",82,1155.7,722.4,-442.8,0.157
"exponential_VE95",82,1217,642.8,-157,0.09
"exponential_VE60",82,1359.2,874.6,683.5,0.327
"exponential_VE30",82,2150.7,1670.3,1568.6,0.433
"exponential_VE0",82,3172.3,2586.6,2484.9,0.465
